concept_id,concept_name,domain_id,vocabulary_id,standard_concept,drug,cohort_name,cohort_label,cohort_domain
782361,{6 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Granules for Oral Solution) / 1 (risedronate sodium 35 MG Oral Tablet) } Pack box of 12,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782362,{6 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Granules for Oral Solution) / 1 (risedronate sodium 35 MG Oral Tablet) } Pack [Actonel] box of 12,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782520,Ibandronate Injectable Solution [Ibandronate EG],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782521,Ibandronate 1 MG/ML Injectable Solution [Ibandronate EG],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782522,Ibandronate 1 MG/ML Injectable Solution [Ibandronate EG] Box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782523,Ibandronate 1 MG/ML Injectable Solution [Ibandronic Acid Accord],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
782524,Ibandronate 1 MG/ML Injectable Solution [Ibandronic Acid Accord] Box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783093,zoledronic acid Injectable Solution [Zoledroninezuur Accord],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783094,zoledronic acid Injectable Solution [ACIDE ZOLEDRONIQUE FRESENIUS KABI],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783095,zoledronic acid Injectable Solution [ACIDE ZOLEDRONIQUE MYLAN],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783096,zoledronic acid Injectable Solution [ACIDE ZOLEDRONIQUE SANDOZ],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783097,zoledronic acid 0.8 MG/ML Injectable Solution [Zoledroninezuur Accord],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783098,zoledronic acid 0.8 MG/ML Injectable Solution [Zoledroninezuur Accord] Box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783099,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE FRESENIUS KABI],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783100,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE FRESENIUS KABI] Box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783101,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE MYLAN],Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
783102,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE MYLAN] Box of 1,Drug,RxNorm Extension,standard,M05B_drugs_affecting_bone_structure_and_mineralization,bisphosphonates,Bisphosphonates,drug
