cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,drug
osteoporosis_medicines,Osteoporosis medicines,drug,702337,TRUE,vosoritide 1.2 MG,RxNorm,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,702338,TRUE,vosoritide 1.2 MG Injection,RxNorm,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,702339,TRUE,vosoritide 1.2 MG [Voxzogo],RxNorm,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,702340,TRUE,vosoritide 1.2 MG Injection [Voxzogo],RxNorm,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,715822,TRUE,ibandronic acid and colecalciferol; systemic,ATC,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,classification,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,779405,TRUE,menatetrenone 0.09 MG,RxNorm,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,779406,TRUE,cholecalciferol 0.125 MG / menatetrenone 0.09 MG Oral Capsule,RxNorm,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782289,TRUE,{4 (Alendronic acid 70 MG Oral Tablet) / 24 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Tablet for Oral Suspension) } Pack [Alendronaat + Calcium/Vitamine D Combi Sandoz] box of 1 by Sandoz,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782295,TRUE,{6 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Granules for Oral Solution) / 1 (risedronate sodium 35 MG Oral Tablet) } Pack [Actonel] box of 12 by Warner Chilcott,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782353,TRUE,{4 (Alendronic acid 70 MG Oral Tablet) / 24 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Tablet for Oral Suspension) } Pack box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
