concept_id,concept_name,domain_id,vocabulary_id,standard_concept,condition,cohort_name,cohort_label,cohort_domain
4043380,Parkinsonism with calcification of basal ganglia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043381,Juvenile onset Huntington's disease,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043386,Paroxysmal dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043387,Drug-induced acute dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043388,Idiopathic familial dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043389,Autosomal recessive idiopathic familial dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043390,Meige syndrome,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043391,Edentulous orofacial dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043392,Occupational dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4043395,Akathisia caused by drug,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4044052,Manganese-induced parkinsonism,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4044059,Isolated oromandibular dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4044060,Diurnal dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4045844,Dyskinetic cerebral palsy,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4046092,Carbon monoxide-induced parkinsonism,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4046093,Vascular parkinsonism,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4046095,Akinetic-rigid form of Huntington's disease,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4046097,Sandifer syndrome,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
4046098,Autosomal dominant idiopathic familial dystonia,Condition,SNOMED,standard,extrapyramidal symptoms,extrapyramidal_or_drug_induced_parkinsonism,Extrapyramidal symptoms or drug-induced parkinsonism,condition
